School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
Melody,51,15,48,M,5/8/2020
Coolidge,49,95,42,F,6/15/2020
Fieldstone,89,25,65,F,6/29/2021
1st,96,34,77,F,8/19/2020
Swallow,53,67,25,F,10/14/2020
Kings,43,94,10,M,9/3/2020
Havey,75,18,5,F,4/13/2021
Blackbird,42,88,3,M,12/1/2020
Mockingbird,56,94,82,M,4/13/2020
Elmside,23,38,20,F,1/22/2021
Melvin,91,42,5,F,4/18/2020
Bellgrove,59,12,26,F,10/14/2020
Carberry,97,64,96,M,9/6/2020
Ronald Regan,7,8,84,F,3/1/2021
Oak Valley,80,20,42,M,4/25/2021
Arrowood,29,82,68,F,3/2/2021
Transport,81,84,23,M,6/29/2021
Morningstar,40,70,4,M,9/29/2020
Russell,16,73,33,F,7/14/2020
6th,88,22,99,M,11/15/2020
Welch,63,36,35,F,9/15/2020
Dawn,37,79,28,M,1/23/2021
Sauthoff,49,95,24,F,4/29/2021
Bonner,9,76,40,F,3/3/2021
Schiller,50,39,13,M,8/16/2020
Russell,87,28,98,F,10/13/2020
Holmberg,53,14,32,F,6/12/2021
Derek,37,47,84,F,9/11/2020
Katie,10,84,35,M,9/27/2020
Debra,39,90,38,F,9/2/2020
Rieder,24,89,29,M,12/27/2020
Morning,18,77,85,F,6/9/2020
Bowman,74,34,81,M,5/24/2020
Forster,28,27,17,F,4/15/2020
Lotheville,27,31,86,M,8/16/2020
Northridge,66,3,33,M,10/25/2020
Carberry,81,79,29,M,4/7/2020
Eastlawn,86,39,21,F,9/2/2020
Hayes,97,57,61,M,1/4/2021
6th,19,95,61,F,9/28/2020
Sloan,97,87,53,M,11/22/2020
Lien,72,34,8,M,5/31/2021
Commercial,43,85,8,F,4/30/2020
Independence,35,1,90,M,12/30/2020
Village,68,33,5,M,3/16/2021
Coolidge,91,6,37,M,4/17/2021
Hoepker,5,60,46,M,6/21/2020
Toban,37,64,67,M,11/12/2020
Lindbergh,92,21,86,M,8/22/2020
Lukken,7,88,59,F,7/10/2021
Sheridan,81,60,36,F,7/1/2020
Coolidge,60,35,64,F,4/19/2020
Drewry,5,45,16,M,11/5/2020
New Castle,89,21,44,F,7/14/2021
Eagan,40,62,30,M,5/10/2021
Blue Bill Park,82,58,66,M,6/9/2021
Norway Maple,72,88,40,M,5/21/2021
Lighthouse Bay,7,53,91,M,5/16/2020
Acker,56,80,87,F,4/12/2020
Mesta,83,59,26,M,1/21/2021
Ridgeview,92,94,93,M,11/28/2020
Boyd,23,87,34,M,8/27/2020
Dawn,13,72,63,F,5/9/2020
Dexter,48,67,64,F,7/5/2020
Granby,96,61,71,M,3/23/2020
Marquette,84,32,27,F,11/8/2020
Lighthouse Bay,3,86,73,M,12/4/2020
Spaight,90,27,37,M,8/16/2020
Logan,30,67,56,F,1/23/2021
Cardinal,43,93,11,M,5/31/2021
Judy,56,46,24,M,1/1/2021
Lindbergh,57,61,98,F,12/8/2020
Bellgrove,41,89,49,M,4/15/2021
Laurel,73,62,87,M,1/3/2021
Starling,96,82,85,F,4/29/2020
Dorton,10,74,18,F,9/7/2020
Farragut,50,30,17,M,7/26/2020
Butterfield,77,78,77,F,12/31/2020
Chinook,56,36,28,F,3/29/2020
Dawn,32,86,52,F,9/12/2020
Dayton,7,69,45,F,11/30/2020
Cody,25,24,31,M,3/24/2021
Talmadge,93,68,51,M,3/23/2021
Sunfield,52,23,55,M,4/2/2020
Rockefeller,96,3,48,M,11/3/2020
Lakewood,77,48,20,M,6/1/2020
Oneill,69,98,94,M,12/17/2020
Scofield,38,100,74,F,7/13/2020
Harbort,89,93,29,M,2/17/2021
Browning,73,25,82,F,9/13/2020
Rieder,80,27,50,M,1/12/2021
Roth,30,86,65,F,5/25/2020
Atwood,79,2,29,M,11/28/2020
Eagle Crest,5,86,3,F,6/15/2020
Forest Dale,4,45,82,F,5/19/2020
Mayfield,11,42,91,F,8/4/2020
Drewry,39,42,1,F,1/11/2021
