School unit name,elementary school cases,middle schools cases,high schools cases,Gender,Reporting date
Stuart,13,34,90,F,6/25/2021
Randy,5,51,47,F,12/17/2020
Gale,78,63,29,F,2/19/2021
Bellgrove,99,3,8,M,3/5/2021
Elmside,60,35,73,F,10/29/2020
Village,26,91,87,M,2/9/2021
Heffernan,67,15,26,F,11/17/2020
Gulseth,27,29,60,F,9/26/2020
Golf Course,80,29,98,F,9/1/2020
Lakewood,64,66,61,M,11/1/2020
Bultman,44,85,63,M,4/19/2021
Bobwhite,69,67,51,F,1/19/2021
Pankratz,65,11,51,M,3/17/2021
Old Gate,56,33,8,M,1/10/2021
Lotheville,28,63,22,M,10/20/2020
Helena,29,63,30,M,11/2/2020
Shasta,39,7,84,M,7/18/2021
Springs,58,98,99,M,3/9/2021
Sunfield,84,69,62,F,4/17/2021
Village,70,76,64,F,6/21/2021
Shelley,93,10,27,M,6/23/2021
Gerald,76,27,42,F,6/12/2021
Paget,14,39,85,F,4/9/2021
Kennedy,80,74,19,F,6/10/2021
Forest Run,45,35,90,M,5/11/2021
Thompson,54,61,93,F,5/15/2021
Westerfield,6,80,69,F,10/11/2020
Autumn Leaf,29,93,99,M,8/2/2021
Shasta,17,81,90,M,11/18/2020
Sycamore,29,76,11,M,7/31/2021
Oxford,75,35,55,F,3/5/2021
Old Gate,86,10,86,M,3/6/2021
Acker,57,35,49,M,12/29/2020
Monument,76,57,6,F,9/25/2020
David,41,73,81,M,4/21/2021
Stone Corner,37,26,8,F,3/16/2021
Duke,87,7,42,M,6/30/2021
Golden Leaf,19,78,71,F,5/31/2021
Kenwood,86,3,17,M,10/30/2020
Fairview,30,44,52,M,1/18/2021
Thompson,58,46,71,F,8/31/2020
Delaware,37,16,27,M,12/30/2020
Victoria,48,98,90,M,12/4/2020
Quincy,54,71,93,F,10/4/2020
Crest Line,32,92,27,M,6/30/2021
Moland,47,78,5,M,1/20/2021
Riverside,22,96,71,M,10/12/2020
Melrose,60,58,43,M,6/7/2021
Golf View,66,36,83,F,3/14/2021
Birchwood,97,4,77,M,8/16/2020
Del Mar,69,87,91,M,12/4/2020
High Crossing,37,81,39,M,9/10/2020
Summit,89,53,45,F,7/15/2021
Packers,85,50,87,M,3/2/2021
Melvin,99,98,92,M,9/15/2020
Elka,76,80,19,M,3/6/2021
American Ash,62,24,2,F,6/5/2021
Gina,88,80,91,M,10/16/2020
Spenser,37,7,90,M,10/15/2020
Lerdahl,25,16,35,M,6/1/2021
Mayfield,17,57,6,F,8/13/2021
Roxbury,27,53,37,F,1/20/2021
Jana,20,38,84,M,2/4/2021
Del Sol,84,59,20,M,9/21/2020
South,88,57,49,F,4/26/2021
Tennyson,39,33,19,F,2/28/2021
Mcguire,23,25,25,F,8/5/2021
Mcbride,45,22,22,M,12/11/2020
Iowa,98,73,53,F,11/14/2020
Declaration,33,36,25,M,8/11/2021
Weeping Birch,34,45,63,F,1/26/2021
Mccormick,77,72,18,F,11/28/2020
Anniversary,91,54,66,M,2/21/2021
Schurz,13,70,1,F,11/5/2020
Meadow Valley,46,86,24,F,4/5/2021
Del Sol,43,27,11,M,5/15/2021
Kingsford,21,10,19,F,12/5/2020
Bartillon,21,4,39,M,6/26/2021
Miller,26,25,40,M,7/2/2021
Mifflin,84,7,83,F,11/21/2020
Orin,79,33,99,F,10/20/2020
Nelson,89,17,81,F,12/12/2020
Mccormick,23,93,98,F,8/18/2020
Jackson,66,93,45,F,11/5/2020
Ridgeway,89,32,69,F,6/5/2021
Bunting,46,24,12,F,12/9/2020
Butterfield,27,79,51,M,4/21/2021
Pond,38,100,9,M,6/26/2021
Morningstar,69,32,67,M,12/3/2020
Sage,55,93,72,F,1/22/2021
Waubesa,59,2,81,F,11/8/2020
Crownhardt,34,30,91,M,3/22/2021
Elka,51,52,57,F,2/6/2021
Grasskamp,9,26,63,F,11/28/2020
Swallow,45,42,65,F,4/24/2021
La Follette,50,69,46,F,8/30/2020
Jay,3,77,61,F,8/24/2020
Mitchell,90,69,64,M,2/9/2021
Merrick,14,58,10,M,4/27/2021
Hansons,20,70,95,F,8/2/2021
Sherman,59,53,78,F,8/16/2020
Lyons,28,71,34,F,1/12/2021
Mallard,97,97,80,M,5/16/2021
Heffernan,30,16,51,M,3/27/2021
Sherman,89,62,24,M,7/14/2021
Fisk,80,9,28,F,10/29/2020
Kedzie,88,76,8,M,9/17/2020
Toban,30,67,79,F,6/16/2021
Bobwhite,63,9,9,F,3/14/2021
Eastwood,19,92,28,M,4/1/2021
Springview,55,72,21,F,5/8/2021
Merchant,82,29,44,F,2/22/2021
Knutson,36,62,40,F,11/17/2020
School,32,29,78,M,7/2/2021
Waubesa,55,12,57,M,5/22/2021
Prairieview,7,97,64,F,10/22/2020
Kenwood,44,97,37,M,7/1/2021
Oak,72,79,6,M,1/2/2021
Hovde,74,8,36,F,7/30/2021
Almo,48,41,11,M,7/28/2021
East,24,1,39,F,5/5/2021
Meadow Ridge,21,89,91,M,10/28/2020
Loftsgordon,52,12,4,F,5/13/2021
Bluejay,37,15,15,M,6/16/2021
Linden,91,92,4,M,4/2/2021
Carioca,46,42,51,M,5/20/2021
Stang,44,41,85,F,7/12/2021
Dryden,65,99,98,M,6/6/2021
Golf Course,27,11,70,M,9/4/2020
Marcy,14,37,14,M,5/3/2021
Buhler,29,93,76,F,4/29/2021
Elka,36,48,92,M,12/7/2020
Toban,4,59,74,F,7/31/2021
Mitchell,43,1,56,M,9/8/2020
Oxford,93,65,42,F,5/13/2021
Roth,32,97,44,F,8/30/2020
Dapin,39,63,64,M,1/24/2021
Hauk,64,71,15,F,5/10/2021
Sauthoff,59,62,98,F,7/6/2021
Milwaukee,45,82,62,F,8/25/2020
Brown,6,49,78,F,5/1/2021
Iowa,62,22,68,F,12/31/2020
Village,23,21,85,M,2/13/2021
Jackson,62,8,48,M,8/22/2020
Leroy,21,32,49,M,3/27/2021
Manufacturers,84,52,6,F,1/15/2021
Amoth,31,92,45,F,9/24/2020
Reinke,58,80,20,M,5/18/2021
Nova,84,93,29,F,12/18/2020
Dayton,63,26,79,M,12/30/2020
Kingsford,24,22,68,M,10/6/2020
Village Green,24,44,12,F,8/31/2020
Glacier Hill,85,43,18,F,1/17/2021
Lyons,35,81,42,M,8/3/2021
Thierer,16,10,59,F,3/16/2021
Dorton,43,68,6,F,12/18/2020
Hallows,54,47,10,F,2/7/2021
Browning,19,5,56,F,6/23/2021
Knutson,5,33,19,F,9/28/2020
Holy Cross,54,44,45,F,2/21/2021
Hoffman,34,22,4,F,3/31/2021
John Wall,91,35,100,M,9/22/2020
Blue Bill Park,66,10,26,M,1/9/2021
Meadow Vale,96,48,63,M,5/1/2021
Rutledge,64,97,79,F,1/22/2021
Daystar,22,89,39,M,2/17/2021
Sullivan,8,55,6,F,5/3/2021
Rieder,8,46,30,F,5/3/2021
Kingsford,39,8,42,M,3/5/2021
Kensington,21,18,20,M,8/5/2021
Canary,9,59,70,F,9/26/2020
Iowa,60,41,79,M,12/13/2020
7th,5,61,60,M,11/2/2020
Annamark,60,32,67,M,9/1/2020
Walton,92,99,81,F,10/1/2020
Clyde Gallagher,39,80,46,M,2/15/2021
Maywood,89,97,77,F,7/17/2021
Vahlen,73,66,15,M,6/20/2021
Fairfield,40,8,48,F,4/19/2021
Stoughton,83,56,24,F,6/6/2021
Springs,2,97,22,M,12/21/2020
Anthes,67,71,98,F,2/3/2021
Killdeer,64,5,40,M,7/22/2021
Hallows,90,5,2,M,7/29/2021
Transport,91,70,3,M,10/21/2020
Briar Crest,47,39,70,F,11/8/2020
Monument,53,83,94,F,9/6/2020
Pond,3,57,55,M,6/12/2021
Surrey,21,98,64,F,10/17/2020
Sutteridge,79,8,93,M,11/15/2020
Victoria,24,71,75,M,8/26/2020
Crest Line,97,5,95,F,12/24/2020
Express,38,16,62,F,4/29/2021
Sachs,59,58,35,M,6/22/2021
Ohio,47,85,28,M,10/10/2020
Almo,35,81,81,F,1/14/2021
Starling,22,45,41,M,4/16/2021
Jenifer,5,44,43,M,11/7/2020
Fordem,73,97,56,F,11/3/2020
Southridge,58,17,95,M,5/8/2021
Toban,37,88,19,F,5/1/2021
3rd,83,49,74,F,2/12/2021
Morrow,95,95,71,F,11/16/2020
Bonner,77,24,17,F,8/30/2020
Aberg,10,93,70,M,1/22/2021
Scoville,2,33,37,F,12/31/2020
Southridge,47,11,23,F,12/29/2020
Steensland,75,68,64,F,2/2/2021
Grim,41,73,49,F,12/12/2020
Kipling,9,54,8,M,3/26/2021
Welch,87,6,67,M,6/28/2021
Fallview,64,48,4,F,6/20/2021
Darwin,88,29,38,F,7/9/2021
Northview,21,99,29,F,8/25/2020
John Wall,73,86,88,M,3/24/2021
American,68,16,96,F,9/14/2020
Crescent Oaks,91,30,61,M,7/10/2021
Bunting,20,33,100,F,8/4/2021
Killdeer,59,3,24,M,9/24/2020
Orin,6,47,58,M,6/4/2021
Heffernan,43,56,72,F,3/26/2021
Maryland,8,66,65,F,11/16/2020
Donald,71,2,63,M,10/24/2020
Debs,40,84,96,F,12/7/2020
Mcbride,29,94,35,F,5/9/2021
Gulseth,68,52,52,F,10/29/2020
Anzinger,53,21,68,F,2/24/2021
Anhalt,31,76,88,F,4/25/2021
Moose,45,14,13,M,12/5/2020
Village,35,95,71,M,9/13/2020
Butterfield,31,67,3,F,10/1/2020
Truax,3,61,99,M,8/6/2021
Northridge,87,16,91,M,12/4/2020
Buhler,2,11,62,F,1/23/2021
Northport,76,8,84,F,9/11/2020
Anniversary,92,16,59,F,11/20/2020
Thackeray,33,74,98,M,8/30/2020
Carey,16,19,40,M,8/11/2021
Jay,67,30,68,M,8/30/2020
Bartillon,28,82,47,F,3/11/2021
Weeping Birch,85,79,94,M,6/27/2021
Eagle Crest,79,61,17,M,1/31/2021
Barnett,20,73,85,M,9/20/2020
Steensland,19,90,38,M,8/15/2021
Columbus,39,33,38,F,2/23/2021
Bunting,31,100,25,F,12/12/2020
Lunder,29,12,17,M,3/4/2021
David,61,35,29,M,11/30/2020
Village,68,17,37,F,12/14/2020
Raven,44,21,52,F,6/7/2021
Oxford,32,3,63,F,8/7/2021
Golden Leaf,76,8,96,M,1/7/2021
Pawling,50,97,32,F,11/26/2020
Hooker,14,47,20,F,9/1/2020
American,44,93,96,F,6/30/2021
Summerview,14,35,94,M,12/5/2020
Spohn,18,80,25,M,7/19/2021
Welch,39,91,98,M,11/14/2020
Sachs,69,7,25,M,11/5/2020
Cambridge,61,94,80,M,12/17/2020
Lukken,15,100,23,M,1/28/2021
Kennedy,38,99,58,M,3/16/2021
Kings,63,94,71,M,7/11/2021
Eastwood,70,3,25,F,9/13/2020
Thackeray,100,40,94,F,1/4/2021
Browning,25,87,51,F,4/8/2021
Springs,87,82,88,F,5/17/2021
Lighthouse Bay,83,65,85,F,9/3/2020
Sugar,100,89,21,F,5/22/2021
Prentice,83,77,74,F,9/11/2020
Melby,97,63,55,F,12/25/2020
Straubel,14,62,71,F,9/24/2020
Burning Wood,88,91,15,F,8/31/2020
Walton,53,69,99,M,3/30/2021
Northfield,88,66,42,F,2/28/2021
Northwestern,38,18,100,F,10/30/2020
New Castle,57,92,45,M,9/3/2020
Milwaukee,85,97,95,F,2/2/2021
Monument,70,40,20,F,5/1/2021
Moose,91,8,77,F,4/29/2021
Lake View,85,15,79,F,8/20/2020
Riverside,27,48,94,M,12/9/2020
Sachs,47,44,46,M,4/27/2021
Kim,65,29,76,F,12/22/2020
Forest Dale,64,71,2,M,7/15/2021
Rowland,58,56,67,M,9/22/2020
Magdeline,99,74,78,M,5/25/2021
Jay,44,39,17,M,10/5/2020
Autumn Leaf,49,16,64,M,12/8/2020
Dakota,16,65,63,M,1/18/2021
David,16,27,64,M,2/14/2021
La Follette,46,71,12,F,11/27/2020
Texas,97,44,37,M,1/29/2021
Hagan,27,1,31,F,1/5/2021
Rowland,63,65,97,F,12/6/2020
